store_id,item_id,date,qty_sold
1,1,2022-01-01,11
1,1,2022-01-02,12
1,1,2022-01-03,24
1,1,2022-01-04,11
1,1,2022-01-05,12
1,1,2022-01-06,23
1,1,2022-01-07,8
1,1,2022-01-08,21
1,1,2022-01-09,14
1,1,2022-01-10,15
1,1,2022-01-11,13
1,1,2022-01-12,15
1,1,2022-01-13,14
1,1,2022-01-14,11
1,1,2022-01-15,9
1,1,2022-01-16,11
1,1,2022-01-17,0
1,1,2022-01-18,13
1,1,2022-01-19,11
1,1,2022-01-20,0
1,1,2022-01-21,9
1,1,2022-01-22,13
1,1,2022-01-23,24
1,1,2022-01-24,8
1,1,2022-01-25,12
1,1,2022-01-26,9
1,1,2022-01-27,12
1,1,2022-01-28,18
1,1,2022-01-29,0
1,1,2022-01-30,10
1,1,2022-01-31,10
1,1,2022-02-01,14
1,1,2022-02-02,8
1,1,2022-02-03,15
1,1,2022-02-04,12
1,1,2022-02-05,10
1,1,2022-02-06,14
1,1,2022-02-07,9
1,1,2022-02-08,10
1,1,2022-02-09,9
1,1,2022-02-10,15
1,1,2022-02-11,15
1,1,2022-02-12,14
1,1,2022-02-13,11
1,1,2022-02-14,10
1,1,2022-02-15,12
1,1,2022-02-16,11
1,1,2022-02-17,13
1,1,2022-02-18,14
1,1,2022-02-19,8
1,1,2022-02-20,8
1,1,2022-02-21,14
1,1,2022-02-22,13
1,1,2022-02-23,11
1,1,2022-02-24,15
1,1,2022-02-25,18
1,1,2022-02-26,11
1,1,2022-02-27,8
1,1,2022-02-28,10
1,1,2022-03-01,23
1,1,2022-03-02,8
1,1,2022-03-03,11
1,1,2022-03-04,14
1,1,2022-03-05,10
1,1,2022-03-06,12
1,1,2022-03-07,10
1,1,2022-03-08,8
1,1,2022-03-09,12
1,1,2022-03-10,21
1,1,2022-03-11,10
1,1,2022-03-12,8
1,1,2022-03-13,9
1,1,2022-03-14,8
1,1,2022-03-15,13
1,1,2022-03-16,15
1,1,2022-03-17,11
1,1,2022-03-18,13
1,1,2022-03-19,10
1,1,2022-03-20,10
1,1,2022-03-21,15
1,1,2022-03-22,21
1,1,2022-03-23,13
1,1,2022-03-24,15
1,1,2022-03-25,12
1,1,2022-03-26,9
1,1,2022-03-27,0
1,1,2022-03-28,13
1,1,2022-03-29,15
1,1,2022-03-30,15
1,1,2022-03-31,10
1,1,2022-04-01,13
1,1,2022-04-02,13
1,1,2022-04-03,12
1,1,2022-04-04,15
1,1,2022-04-05,0
1,1,2022-04-06,18
1,1,2022-04-07,13
1,1,2022-04-08,10
1,1,2022-04-09,12
1,1,2022-04-10,10
1,1,2022-04-11,12
1,1,2022-04-12,15
1,1,2022-04-13,9
1,1,2022-04-14,25
1,1,2022-04-15,14
1,1,2022-04-16,10
1,1,2022-04-17,15
1,1,2022-04-18,15
1,1,2022-04-19,9
1,1,2022-04-20,0
1,1,2022-04-21,11
1,1,2022-04-22,15
1,1,2022-04-23,10
1,1,2022-04-24,9
1,1,2022-04-25,10
1,1,2022-04-26,12
1,1,2022-04-27,18
1,1,2022-04-28,13
1,1,2022-04-29,15
1,1,2022-04-30,12
1,1,2022-05-01,15
1,1,2022-05-02,14
1,1,2022-05-03,9
1,1,2022-05-04,8
1,1,2022-05-05,0
1,1,2022-05-06,22
1,1,2022-05-07,11
1,1,2022-05-08,8
1,1,2022-05-09,13
1,1,2022-05-10,12
1,1,2022-05-11,15
1,1,2022-05-12,24
1,1,2022-05-13,0
1,1,2022-05-14,23
1,1,2022-05-15,13
1,1,2022-05-16,21
1,1,2022-05-17,12
1,1,2022-05-18,0
1,1,2022-05-19,0
1,1,2022-05-20,24
1,1,2022-05-21,15
1,1,2022-05-22,11
1,1,2022-05-23,19
1,1,2022-05-24,10
1,1,2022-05-25,10
1,1,2022-05-26,10
1,1,2022-05-27,8
1,1,2022-05-28,11
1,1,2022-05-29,23
1,1,2022-05-30,10
1,1,2022-05-31,0
1,1,2022-06-01,9
1,1,2022-06-02,9
1,1,2022-06-03,22
1,1,2022-06-04,12
1,1,2022-06-05,8
1,1,2022-06-06,10
1,1,2022-06-07,14
1,1,2022-06-08,15
1,1,2022-06-09,12
1,1,2022-06-10,13
1,1,2022-06-11,15
1,1,2022-06-12,0
1,1,2022-06-13,8
1,1,2022-06-14,11
1,1,2022-06-15,10
1,1,2022-06-16,12
1,1,2022-06-17,10
1,1,2022-06-18,15
1,1,2022-06-19,9
1,1,2022-06-20,9
1,1,2022-06-21,10
1,1,2022-06-22,8
1,1,2022-06-23,12
1,1,2022-06-24,25
1,1,2022-06-25,9
1,1,2022-06-26,13
1,1,2022-06-27,8
1,1,2022-06-28,14
1,1,2022-06-29,13
1,1,2022-06-30,11
1,1,2022-07-01,9
1,1,2022-07-02,22
1,1,2022-07-03,9
1,1,2022-07-04,14
1,1,2022-07-05,12
1,1,2022-07-06,11
1,1,2022-07-07,13
1,1,2022-07-08,0
1,1,2022-07-09,22
1,1,2022-07-10,21
1,1,2022-07-11,21
1,1,2022-07-12,8
1,1,2022-07-13,12
1,1,2022-07-14,24
1,1,2022-07-15,25
1,1,2022-07-16,15
1,1,2022-07-17,11
1,1,2022-07-18,11
1,1,2022-07-19,8
1,1,2022-07-20,14
1,1,2022-07-21,11
1,1,2022-07-22,12
1,1,2022-07-23,9
1,1,2022-07-24,8
1,1,2022-07-25,9
1,1,2022-07-26,15
1,1,2022-07-27,15
1,1,2022-07-28,9
1,1,2022-07-29,10
1,1,2022-07-30,8
1,1,2022-07-31,25
1,1,2022-08-01,12
1,1,2022-08-02,12
1,1,2022-08-03,9
1,1,2022-08-04,13
1,1,2022-08-05,12
1,1,2022-08-06,0
1,1,2022-08-07,14
1,1,2022-08-08,9
1,1,2022-08-09,9
1,1,2022-08-10,22
1,1,2022-08-11,0
1,1,2022-08-12,14
1,1,2022-08-13,10
1,1,2022-08-14,11
1,1,2022-08-15,9
1,1,2022-08-16,14
1,1,2022-08-17,8
1,1,2022-08-18,14
1,1,2022-08-19,12
1,1,2022-08-20,9
1,1,2022-08-21,12
1,1,2022-08-22,12
1,1,2022-08-23,20
1,1,2022-08-24,14
1,1,2022-08-25,15
1,1,2022-08-26,15
1,1,2022-08-27,10
1,1,2022-08-28,9
1,1,2022-08-29,9
1,1,2022-08-30,12
1,1,2022-08-31,11
1,1,2022-09-01,13
1,1,2022-09-02,9
1,1,2022-09-03,14
1,1,2022-09-04,25
1,1,2022-09-05,18
1,1,2022-09-06,11
1,1,2022-09-07,13
1,1,2022-09-08,13
1,1,2022-09-09,13
1,1,2022-09-10,10
1,1,2022-09-11,24
1,1,2022-09-12,13
1,1,2022-09-13,8
1,1,2022-09-14,14
1,1,2022-09-15,9
1,1,2022-09-16,12
1,1,2022-09-17,10
1,1,2022-09-18,11
1,1,2022-09-19,15
1,1,2022-09-20,9
1,1,2022-09-21,9
1,1,2022-09-22,10
1,1,2022-09-23,18
1,1,2022-09-24,13
1,1,2022-09-25,20
1,1,2022-09-26,15
1,1,2022-09-27,20
1,1,2022-09-28,15
1,1,2022-09-29,0
1,1,2022-09-30,13
1,1,2022-10-01,10
1,1,2022-10-02,10
1,1,2022-10-03,11
1,1,2022-10-04,11
1,1,2022-10-05,8
1,1,2022-10-06,13
1,1,2022-10-07,10
1,1,2022-10-08,20
1,1,2022-10-09,9
1,1,2022-10-10,9
1,1,2022-10-11,0
1,1,2022-10-12,8
1,1,2022-10-13,14
1,1,2022-10-14,12
1,1,2022-10-15,13
1,1,2022-10-16,9
1,1,2022-10-17,0
1,1,2022-10-18,12
1,1,2022-10-19,13
